contract_address,chain,protocol,method_id,method,absolute_executions,%,cum %
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x3f8fc233,-,451,0.23%,34.35%
0x000000000022d473030f116ddee9f6b43ac78ba3,eth,uniswap,0x2a2d80d1,approve,449,0.23%,34.59%
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x7ff36ab5,swap,441,0.23%,34.81%
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,eth,uniswap,0xb6f9de95,swap,436,0.23%,35.04%
0xbff4cbe9231c16fb79c831c7bcccd6a6c5b89e0c,matic,DAFContributors (DAFc),0xa6385803,-,435,0.23%,35.27%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xe7acab24,fulfill order,435,0.23%,35.49%
0xbf22f0f184bccbea268df387a49ff5238dd23e40,arb,stargate,0x1114cd2a,swap,433,0.22%,35.72%
0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,arb,odos,0x83bd37f9,swap,415,0.22%,35.93%
0x20f0b18bdde8e3dd0e42c173062ebdd05c421151,base,firebird,0x7c025200,swap,407,0.21%,36.14%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x6af479b2,,386,0.20%,36.34%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,arb,0x,0x415565b0,,380,0.20%,36.54%
0x61c3a357bc3ca51b80ecd36cb1ae37e5465c6701,base,newthronegame,0x372500ab,,378,0.20%,36.74%
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0xb066ea7c,swap,374,0.19%,36.93%
0x53bf833a5d6c4dda888f69c22c88c9f356a41614,arb,stargate,0x9fbf10fc,bridge swap,373,0.19%,37.13%
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,weth,0x2e1a7d4d,-,360,0.19%,37.31%
0xc36c85ef01e85d2ae9096e8d3416b3007edc3495,base,duelarenabattle,0x37d8b79d,,359,0.19%,37.50%
0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,zksync,syncswap,0x2cc4081e,swap,357,0.19%,37.68%
0xc36c85ef01e85d2ae9096e8d3416b3007edc3495,base,duelarenabattle,0xb7a2a781,,348,0.18%,37.86%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x803ba26d,,339,0.18%,38.04%
0x881d40237659c251811cec9c364ef91dc08d300c,eth,metaswap,0x5f575529,swap,338,0.18%,38.22%
0x200bd65a3189930634af857c72281abe63c3da5e,matic,proxyfront,0xe0ccea9d,,338,0.18%,38.39%
0xf6d1b85af155229acd7b523601148585a1ff67c6,matic,galxe,0x2e4dbe8f,,329,0.17%,38.56%
0xb1e69773b35a7785a87dea6f010af155102f282d,eth,grid,0x7ebbc073,,325,0.17%,38.73%
