contract_address,chain,protocol,method_id,method,unique_executions,%,cum %,,,,,,,,,,
0x8d0802559775c70fb505f22988a4fd4a4f6d3b62,eth,eigenworlds,0xd85d3d27,mint,68,0.17%,13.08%,,,,,,,,,,
0xf6d1b85af155229acd7b523601148585a1ff67c6,matic,galxe,0x2e4dbe8f,claim,68,0.17%,13.24%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x46c67b6d,?,67,0.17%,13.41%,,,,,,,,,,
0x50b6ebc2103bfec165949cc946d739d5650d7ae4,base,stargate,0x1114cd2a,swap,66,0.16%,13.58%,,,,,,,,,,
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x18cbafe5,swap,66,0.16%,13.74%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x3598d8ab,?,66,0.16%,13.91%,,,,,,,,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,arb,1inch,0x7c025200,swap,65,0.16%,14.07%,,,,,,,,,,
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,eth,kyberswap,0xe21fd0e9,swap,64,0.16%,14.23%,,,,,,,,,,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,weth,0xd0e30db0,-,64,0.16%,14.39%,,,,,,,,,,
0xea2a41c02fa86a4901826615f9796e603c6a4491,base,shitcoin,0x84bb1e42,-,64,0.16%,14.55%,,,,,,,,,,
0x1a0ad011913a150f69f6a19df447a0cfd9551054,eth,zora bridge,0xe9e05c42,bridge,64,0.16%,14.71%,,,,,,,,,,
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,eth,openocean,0x90411a32,swap,63,0.16%,14.86%,,,,,,,,,,
0x198ef79f1f515f02dfe9e3115ed9fc07183f02fc,base,uniswap,0x3593564c,swap,63,0.16%,15.02%,,,,,,,,,,
0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,eth,synapse,0xc2288147,bridge,62,0.15%,15.18%,,,,,,,,,,
0x0be808376ecb75a5cf9bb6d237d16cd37893d904,base,?,0x2646478b,?,62,0.15%,15.33%,,,,,,,,,,
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,arb,openocean,0x90411a32,swap,62,0.15%,15.48%,,,,,,,,,,
0x08c7676680f187a31241e83e6d44c03a98adab05,eth,arkham airdrop,0x3d13f874,,61,0.15%,15.64%,,,,,,,,,,
0x858646372cc42e1a627fce94aa7a7033e7cf075a,eth,eigenlayer,0xe7a050aa,deposit,59,0.15%,15.78%,,,,,,,,,,
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,eth,kyberswap,0x8af033fb,swap,58,0.14%,15.93%,,,,,,,,,,
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x7ff36ab5,swap,58,0.14%,16.07%,,,,,,,,,,
0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,arb,odos,0x83bd37f9,swap,58,0.14%,16.22%,,,,,,,,,,
0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,matic,stargate,0x9fbf10fc,bridge swap,57,0.14%,16.36%,,,,,,,,,,
0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,op,?,0x1114cd2a,swap,57,0.14%,16.50%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,matic,paraswap,0x54e3f31b,swap,56,0.14%,16.64%,,,,,,,,,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,arb,lifi,0x4630a0d8,swap,55,0.14%,16.78%,,,,,,,,,,
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0xb066ea7c,swap,54,0.13%,16.91%,,,,,,,,,,
0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,op,stargate,0x9fbf10fc,bridge swap,54,0.13%,17.05%,,,,,,,,,,
0x8731d54e9d02c286767d56ac03e8037c07e01e98,eth,stargate,0x9fbf10fc,bridge swap,54,0.13%,17.18%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0x87201b41,fulfill order,53,0.13%,17.32%,,,,,,,,,,
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x7ff36ab5,swap,53,0.13%,17.45%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x6af479b2,?,51,0.13%,17.58%,,,,,,,,,,
0x3a23f943181408eac424116af7b7790c94cb97a5,eth,socket,0x00000184,?,51,0.13%,17.70%,,,,,,,,,,
0x643770e279d5d0733f21d6dc03a8efbabf3255b4,matic,uniswap,0x3593564c,swap,50,0.12%,17.83%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,op,1inch,0x12aa3caf,swap,50,0.12%,17.95%,,,,,,,,,,
0xc67e9efdb8a66a4b91b1f3731c75f500130373a4,arb,hyperliquid,0x5b4d793d,?,50,0.12%,18.08%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,matic,1inch,0x12aa3caf,swap,49,0.12%,18.20%,,,,,,,,,,
0x80e38291e06339d10aab483c65695d004dbd5c69,linea,syncswap,0x2cc4081e,swap,49,0.12%,18.32%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,bsc,1inch,0x12aa3caf,swap,48,0.12%,18.44%,,,,,,,,,,
0x32400084c286cf3e17e7b677ea9583e60a000324,eth,zksync ,0xeb672419,?,48,0.12%,18.56%,,,,,,,,,,
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0x9ab6156b,swap,47,0.12%,18.68%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0xa6886da9,,47,0.12%,18.79%,,,,,,,,,,
0x39da41747a83aee658334415666f3ef92dd0d541,eth,blur marketplace,0x9a2b8115,-,47,0.12%,18.91%,,,,,,,,,,
0x4200000000000000000000000000000000000006,base,weth,0xd0e30db0,-,46,0.11%,19.03%,,,,,,,,,,
0xf8b1378579659d8f7ee5f3c929c2f3e332e41fd6,eth,scroll,0x9f8420b3,bridge,46,0.11%,19.14%,,,,,,,,,,
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,eth,linea,0x9f3ce55a,bridge,45,0.11%,19.25%,,,,,,,,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,arb,1inch,0xe449022e,,45,0.11%,19.37%,,,,,,,,,,
0x0055485fca054d165fc0c7d836459722436544c1,eth,shitcoin,0xb77a147b,-,44,0.11%,19.48%,,,,,,,,,,
0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,base,synapse,0xc2288147,bridge,44,0.11%,19.59%,,,,,,,,,,
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0xc6b7f1b6,swap,43,0.11%,19.69%,,,,,,,,,,
0xf05f0e4362859c3331cb9395cbc201e3fa6757ea,bsc,?,0xb1a1a882,?,42,0.10%,19.80%,,,,,,,,,,
0xf6a94dfd0e6ea9ddfdffe4762ad4236576136613,eth,hashflow,0xf0210929,swap,42,0.10%,19.90%,,,,,,,,,,
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,bsc,openocean,0x90411a32,swap,42,0.10%,20.01%,,,,,,,,,,
